level_0,index,Chunk,Tag,sentence_id,Spans
53,92,Còn thầy lồn thì t xin mạng phép bỏ qua ko nói tới coi như sbtc 4 đánh 6,1.0,39,"[[9, 11], [17, 17], [64, 71]]"
54,94,Thuỳ Trang nghe chưa dc 15s tắt cmnr nhạc vs nhẽo,1.0,40,"[[32, 35], [37, 48]]"
55,96,Lào giờ gần như là của Tàu khựa rồi thằng ad ngu ạ.,1.0,41,"[[23, 30], [36, 40], [45, 47]]"
56,97,Ủng hộ cái mồ tổ cha mày.,1.0,41,"[[11, 23]]"
57,99,Ngay bên cạnh còn thấy codon nữa nói gì yêu xaaa 😞,0.0,42,[]
58,101,được anh ey :)),0.0,43,[]
59,103,Giờ này ngta ngủ hết r thầy ơi .,0.0,44,[]
60,104,Ai ngủ rồi điểm danh phát,0.0,44,[]
61,106,may lại có r,0.0,45,[]
62,108,Quang Minh cái lồn má,1.0,46,"[[15, 20]]"
63,110,vl :)) handsome boy,1.0,47,"[[0, 1]]"
64,112,Song trên doi người ta dam ăn dám noi con người thẳng thắn.,0.0,48,[]
65,113,Con hơn mấy con mượn danh đạo tạo danh đời đồ giả tạo nhìn là biết chỉ do 1so con ko thấy đôg cức trên đầu mình .mấy con di ma hay soi moi người ta 2019 rồi tập lam con người lại di.,1.0,48,"[[12, 14], [94, 96], [117, 122]]"
66,115,"Ngu thì chết, đâu phải ko có suy nghĩ đúng sai, chỉ do ko có ý thức.",1.0,49,"[[0, 11], [55, 66]]"
67,117,Ngộ nghĩnh nhỉ🙂,0.0,50,[]
68,119,Yêu làm cái j,0.0,51,[]
69,121,Thuỷ Tạ cho mình hỏi này uốn kiểu gì vậy bạn ơi ?,0.0,52,[]
70,123,Ok thầy nhé,0.0,53,[]
71,125,Cảm giác như dân mình giống thời kì bị đô hộ vkl.,1.0,54,"[[45, 47]]"
72,126,Sưu thuế ngập mồm.,0.0,54,[]
73,127,"Mà bị đô hộ khéo còn phát triển đc chứ đây chả thấy đc cái méo gì, còn khổ thêm",1.0,54,"[[3, 33], [59, 61]]"
74,129,Ko thich VN thì cút sang Campuchia mà sống (DLV cho biết),1.0,55,"[[16, 18]]"
75,131,Tộc Mixi có khác :33,0.0,56,[]
76,133,Nhi Lai mới nghe nói hồi chiều :))))))),0.0,57,[]
77,135,Chắc trêu =))),0.0,58,[]
78,137,Popy đi Thầy,0.0,59,[]
79,139,cho xin video vs,0.0,60,[]
80,141,Giáo án về One champ Lee bú đá và rụng mất xác,1.0,61,"[[25, 29], [39, 45]]"
81,143,Bên ngoài tóc đẹp bên trong nhiều tiền,0.0,62,[]
82,145,Con gà phải để cho abe,0.0,63,[]
83,147,Ae cho phím 1 đuổi Abe để cô Dolce quay trở lại nào 😞,0.0,64,[]
84,149,"Hot girl ống tinh đi, nghe vui tai hơn",1.0,65,"[[0, 16]]"
85,151,Bài này nghe bất tai thôi.,0.0,66,[]
86,152,Dùng comeback vs cảm ơn đàn Đóm của ổng.,0.0,66,[]
87,153,Chứ bài này không có tính phổ biến đủ mọi loại tuổi như 3 hit đầu,0.0,66,[]
88,155,Kênh Chat thế giới khác,0.0,67,[]
89,157,Giờ mới nghe .trời đất ơi cái miệng nó dơ bẩn vô cùng .bởi vậy giờ cả thế giới đều khinh bỉ .trời ơi .khẩu nghiệp vô cùng .😠😠😠😠😠,1.0,68,"[[26, 44], [83, 90], [102, 112], [123, 127]]"
90,159,Lươn khươn kiểu cao lãnh 🤣,0.0,69,[]
91,161,Phải biết là sam và so khác nhau.và so đuôi tam giác và so đuôi tròn càng khác nhau nữa,0.0,70,[]
92,163,Ninh Trần cover liền 😂😂,0.0,71,[]
93,165,"đếm dc tầm trăm ""con chim vàng""",0.0,72,[]
94,167,Đíu ai like.,1.0,73,"[[0, 2]]"
95,168,Cho thầy đi ăn cắp luôn,1.0,73,"[[12, 17]]"
96,170,Căng quá các bác uiii,0.0,74,[]
97,172,Mỗi ho k có đờm gì hết r hqua lại mệt,0.0,75,[]
98,174,Cô tui đỉnh quá ><,0.0,76,[]
99,176,Bon con chau TQ lam j co van hoa,1.0,77,"[[0, 2], [16, 31]]"
100,178,Cho em hỏi sao em xem cmt suốt ngày có Cực kì thuyết phục là sao ạ?,0.0,78,[]
101,180,Valentine năm ngoái có anh,0.0,79,[]
102,182,Cái bình chữa cháy này chưa đạt chuẩn :v chứ nếu chuẩn thì oto ko cháy nhanh thế đâu,0.0,80,[]
103,184,Khẩu nghiệp chêt mẹ may đó trời qua báo may đó hồi xưa may chửi nhiều người .,1.0,81,"[[0, 10], [12, 22], [27, 42], [55, 57], [59, 62]]"
104,185,Bây giơ trời qua bao may đo minh hiếu may gu rang chiu kkkkkk,1.0,81,"[[8, 23], [38, 40], [42, 43]]"
105,187,Lưu Tuyền sắp đến mùa rồi cô ạ ai rủ buôn đừng buôn 😞,0.0,82,[]
106,189,Trần Thành,0.0,83,[]
107,191,"Nếu vậy thì mấy ông CSGT ra đường làm gì cho ""bẩn áo"".",0.0,84,[]
108,192,Mấy ông mà mà người xấu hết thù ở nhà là xong.,0.0,84,[]
109,193,"Có thế một phát là VN lại ""một ngày đi một trung đội"" như năm nào.",0.0,84,[]
110,195,Ghép làm chó nha ae,0.0,85,[]
111,197,"Cũng ko ngạc nhiên jì lắm, gần hết 2020 xăng xái cho đạt yêu cầu quan thầy ấy mà, riêng cái điều này coi bộ khó đạt í,có thằng chó nào ra đường nói tiếng tàu với đồng bào,đồng nghiệp,bạn bè bằng tiếng tàu ko,lúc đó nó cho vào bệnh viện tâm thần thì bỏ mẹ,hay về nhà hôn vợ,nựng con nó có nói tiếng tàu được vợ con nó chắc ngạc nhiên lắm vì nghĩ nó bị khùng,hahaha",1.0,86,"[[121, 129], [215, 216], [249, 253], [282, 283], [314, 315], [345, 346], [351, 355]]"
112,199,Chúng mày làm gì có văn hoá mà lập ra bộ văn hoá,1.0,87,"[[0, 8], [10, 47]]"
113,201,Nguyễn Công Viễn cẩn thận nha,0.0,88,[]
114,203,"Uầy, được anh ơi.",0.0,89,[]
115,204,Cứ như ngồi cạnh thằng Tùng ấy nhờ.,1.0,89,"[[17, 21]]"
116,205,K có đcm luôn.,1.0,89,"[[5, 7]]"
117,206,Nghe cứ điếm vãi cả nồi ấy.,1.0,89,"[[8, 22]]"
118,208,"T muốn coi qá, nhưng sợ nên ngỉ phẻ.",0.0,90,[]
119,209,Đỡ tốn tiền 🤣,0.0,90,[]
120,211,:(,0.0,91,[]
121,213,Like vì cùng suy nghi😁,0.0,92,[]
122,215,"Bắn bỏ hết mẹ lũ tham quan đi, lũ chó",1.0,93,"[[0, 5], [11, 25], [31, 36]]"
123,217,t cừi 2 tiếng rồi và vẫn chưa có dấu hiệu dừng lại,0.0,94,[]
124,219,Tự hào quá VN ơi 😂,0.0,95,[]
125,221,Ý nghĩa,0.0,96,[]
126,223,Vũ Hạnh Dương cô mình hơi nóng hia hiaaaa😂,0.0,97,[]
127,225,Idol,0.0,98,[]
128,227,Idol lạc qua đây luôn😂😂,0.0,99,[]
129,229,con nay mat dai,1.0,100,"[[0, 2], [8, 14]]"
130,231,"Phạm Tuong không có cái gì cũng tự dưng lôi anh tao vào , cái thứ dòng đỗn lì , không khịa anh tao thì m bị ngứa tay à 🙃",1.0,101,"[[48, 50], [71, 76], [86, 89], [95, 97], [103, 103]]"
131,233,<3 <3 <3 Từ hôm nay Việt Nam đã có Pikachu Go để chơi rồi nhé ^^,0.0,102,[]
132,235,Trung cộng phát hiện có cả virus trong nước tiểu nhé.,1.0,103,"[[39, 47]]"
133,237,dnn thay ba nhieu hok tro` tot vc :L)),1.0,104,"[[0, 2], [31, 32], [35, 35]]"
134,239,Chàng trai vs điệu múa bê bết,0.0,105,[]
135,241,Còn tốt lắm 👏 😂,0.0,106,[]
136,243,chuẩn là ngon ngọt nước luôn,0.0,107,[]
137,245,Ai yêu ib nhé,0.0,108,[]
138,247,Chắc panda vui 🙃,0.0,109,[]
139,249,Nắm tay nhau thật chặt.,0.0,110,[]
140,250,Giữ Tay nhau thật sâu.,0.0,110,[]
141,251,Cho chắc ăn.,0.0,110,[]
142,252,Dân sẽ mừng.,0.0,110,[]
143,253,Cũng như Mỹ xấu ăn thịt người.,1.0,110,"[[12, 14], [19, 28]]"
144,254,Mà Vc pháo kích thì cứ chạy tới Mỹ và Nguỵ để được giúp chữa bệnh.,1.0,110,"[[3, 4]]"
145,255,Làng Mỹ Lai.,0.0,110,[]
146,257,Thần quyền Ếch vồ hoa mướp!,0.0,111,[]
147,258,"Thở quá rồi, huyết áp 300 rồi!🤣🤣🤣",0.0,111,[]
148,260,Du me may,1.0,112,"[[0, 8]]"
149,262,Chửi cũng nể nang chứ.,1.0,113,"[[0, 3]]"
150,263,Đkm tao báo công an bắt chết cụ mày.,1.0,113,"[[0, 2], [4, 6], [24, 34]]"
151,264,Phạt mày 5 tr bây giờ.,1.0,113,"[[5, 7]]"
152,265,😂😂😂😂😂😂,0.0,113,[]
153,267,Này mà lúc buồn xúm lại nghe cô nói chuyện chắc cười chết luôn á🤣,0.0,114,[]
154,269,Bai vo nay Bac Ho ma con song bung tay 1 cai la ong toi.can gi phai sung voi dao.dung la ba que ba xao.,1.0,115,"[[68, 71], [77, 79], [89, 94], [96, 101]]"
155,271,Nguyễn Nam khựa story,1.0,116,"[[11, 14]]"
156,273,Lê Thư bớt ngu,1.0,117,"[[11, 13]]"
157,275,Ninh Trần đi đâu cx gặp idol 🙂,0.0,118,[]
158,277,Cái mỏ con linh cá lóc ni giống như cái đít vịt,1.0,119,"[[4, 5], [7, 9], [40, 46]]"
159,279,Tao mà bắt gặp thg nào là tao bêu rếu nó từ đầu trên xuống dưới từ bên này qua bên kia đm cho nó đội quần nó nghỉ làm mẹ luôn dùm tao,1.0,120,"[[0, 2], [15, 17], [26, 28], [30, 36], [38, 39], [87, 88], [94, 95], [97, 104], [106, 107], [118, 119]]"
160,281,Phạm văn rạng từng bắt dính 3 quả của pele và vô địch sea game lần 1,0.0,121,[]
161,283,Ok chấp,0.0,122,[]
162,285,Mai Anh Tuân Mua được mấy cái siêu xe cho các con du học bên bển rồi :v,0.0,123,[]
163,287,Co con cac,1.0,124,"[[3, 9]]"
164,289,Nguyễn Đức Ánh lại thêm thằng ngu thíc sủa bậy.,1.0,125,"[[24, 32], [39, 41]]"
165,291,Huỷ cái dmm :v,1.0,126,"[[8, 10]]"
166,293,nhà tiên tri đã làm bao nhiêu diễn viên mất việc,0.0,127,[]
167,295,Hởi toàn thể 90 trịu dân VN chúng ta hãy truy tìm kẻ khốn nạn này.,1.0,128,"[[50, 60]]"
168,296,"Đây là tiền thúê của chúg ta góp vào phục vụ đất nước, sao chúng trộm làm của riêng?",0.0,128,[]
169,297,Đậu moá anh chịu hết nổi rồi,1.0,128,"[[0, 6]]"
170,299,Tổ sử mấy thằng này chỉ bênh vực nhau.,1.0,129,"[[0, 4], [10, 14]]"
171,300,Thế nào là gạt tay?,0.0,129,[]
172,301,Lỡ như thằng nhà báo nó đấm vỡ mõm thằng CA xong nó bảo chỉ là gạt tay thì có xử thằng nhà báo ko?,1.0,129,"[[7, 11], [24, 26], [31, 33]]"
173,302,Toàn làm trò hề thôi bọn CA chó này!,1.0,129,"[[9, 14], [21, 23], [28, 30]]"
174,304,À thì ra vì muốn ăn 150 tĩ nên bán cái lương tâm vốn đã rách rưới để chê khoa học gia Nhật !,1.0,130,"[[31, 47], [56, 64], [69, 71]]"
175,306,lương lẹo là nghề của búa liềm,1.0,131,"[[0, 8]]"
176,308,Sela tuổi gì với abe :))),1.0,132,"[[5, 8]]"
177,310,Được anh ưii,0.0,133,[]
178,312,em cũng không biết nứa -_-,0.0,134,[]
179,314,Ý là tháng kiếm 7-8tr chỉ để cho con ăn tôm hùm và cua hoàng đế thôi.,0.0,135,[]
180,315,Còn số tiền còn lại không kể hết =)),0.0,135,[]
181,317,địt mẹ chúng mày cmt lịch sự chút đi.😁😁,1.0,136,"[[0, 15]]"
182,319,@Anh Nguyen Tuan biến con mẹ mày,1.0,137,"[[17, 31]]"
183,321,Đàn bà j nhìn mặt giống dân ông xấu thấy mô,1.0,138,"[[0, 30], [32, 34]]"
184,323,Được quá nhỡ 😷,0.0,139,[]
185,325,"Xl la xong sao , de nghi gia dinh xum lai nho nuoc bot uot het nguoi no moi chiu",1.0,140,"[[0, 1], [42, 70]]"
186,327,"Hồi đi học thì được biết mấy chữ như tự mãn, tự cao tự đại, tự kiêu.",1.0,141,"[[37, 42], [45, 57], [60, 66]]"
187,328,sau 75 thì chữ tự hào được xài hơi nhiều.,0.0,141,[]
188,329,từ lúc có điện thoại thông minh thì xuất hiện chữ tự sướng.,0.0,141,[]
189,330,bi giờ DLV và AK 47 làm giàu cho ngữ vựng VN chữ tự nhục.,1.0,141,"[[7, 9], [14, 18], [49, 55]]"
190,331,Định xin phép các anh chị trong ảnh tự nhục kia cho tui .,1.0,141,"[[36, 42]]"
191,332,tự ké được hong?🧐,0.0,141,[]
192,334,Tóc như kia chỉ có chị Trang đổ thôi chứ ai đổ nổi 😂,0.0,142,[]
193,336,Sao lớn rồi cũng có tuổi rồi mà sao ăn nói thiếu văn hoá quá 😒,0.0,143,[]
194,338,"đm , đúng là mặc đồ như cái quanque thiệttt 🤦🏻‍♀️",1.0,144,"[[0, 1], [24, 34]]"
195,340,Bài hát dành cho Khắc .,0.0,145,[]
196,341,À mà thôi :)),0.0,145,[]
197,343,Anh 3 oi.anh lam gi co LON ma chui.hahaha,1.0,146,"[[23, 25], [30, 33]]"
198,345,Hahahahahahaaaa,0.0,147,[]
199,347,Người ta bị liệu bạn ơi,0.0,148,[]
200,349,Giết nó,1.0,149,"[[0, 3], [5, 6]]"
201,351,Lê Thế Hào cc dell bk cailoz j ve nghe thuat im,1.0,150,"[[11, 12], [14, 17], [22, 27]]"
202,353,Giống thực sự,0.0,151,[]
203,355,Mà thật sự chị Trần Đoàn bán hàng trên mạng từ lâu rồi đó.,0.0,152,[]
204,357,Nay toàn lấy cơ chơi lễ trung thu để đi địt nhau thôi anh ạ :))),1.0,153,"[[40, 42]]"
205,359,Nghe bà này nói chuyện ốc ác noi da gà hết sao ma ác khẩu vậy mà nói tâm tốt sau này cái miệng bà này o có voi nam một cho roi đó hết la làng tôi kieu an bà này sẽ co,1.0,154,"[[5, 6], [23, 27], [50, 56]]"
206,361,Chứ tưởng đổi giáo an TF 0156,0.0,155,[]
207,363,Dm quảng cáo :)),1.0,156,"[[0, 1]]"
208,365,sủa sủa sủa 🐕,1.0,157,"[[0, 2], [4, 6], [8, 10], [12, 12]]"
209,367,Anh em mau nhường giải cho Sela trả nợ nào,0.0,158,[]
210,369,Đợi thầy mãi :(,0.0,159,[]
211,371,3k và 38 người.,0.0,160,[]
212,372,Con số đã nói lên tất cả.,0.0,160,[]
213,373,Tỉ lệ này là 99% Không đồng ý và chỉ có 1% đồng ý.,0.0,160,[]
214,374,haha Đâu bao giờ dám trưng cầu dân ý.,1.0,160,"[[5, 35]]"
215,376,Nhìn khó chịu vch.,1.0,161,"[[14, 16]]"
216,378,ok a ưi,0.0,162,[]
217,380,Chiuuuuu :v,0.0,163,[]
218,382,Ai là người buồn vậy?,0.0,164,[]
219,384,Ông Trần Dần tiên đoán khi nào VN sang giải phóng Bắc Kinh?,0.0,165,[]
220,386,Hép pi niu yeahhh,0.0,166,[]
221,388,Đúng r bạn,0.0,167,[]
222,390,Giàu mà ăn mặc lạ lùng ghê k bằng ăn mặc quê mùa như mình :)),1.0,168,"[[0, 56]]"
223,392,"Ko đâu ad , chúng nó ngu đó , Cẩu Quan thua mưu Trung Chó nên cớ sự mới ra9 như vậy !",1.0,169,"[[18, 19], [21, 23], [30, 32], [39, 42], [54, 56]]"
224,394,"Day khong phai la con nguoi nua , tinh tinh tinh ,",1.0,170,"[[0, 26]]"
225,396,Cho phép cái đéo gì mà cá sống ở tầng nước SÂU cũng chết .,1.0,171,"[[13, 15], [52, 55]]"
226,397,Đm,1.0,171,"[[0, 1]]"
227,399,Thay ngáo đá,1.0,172,"[[5, 11]]"
228,401,Chúng nó cấu kết với nhau để khép tội cho HDHải bằng mọi thủ đoạn !,1.0,173,"[[0, 7], [9, 15], [48, 64]]"
229,402,Bọn chó đấy còn dã man tàn nhẫn như thằng hung thủ kia và vẫn đang nhởn nhơ ngoài vòng pháp luật !,1.0,173,"[[0, 6], [16, 21], [23, 30], [36, 49]]"
230,403,Đáng sợ,1.0,173,"[[0, 6]]"
231,405,đi phố bô sa tìm danh hài hải ngoại chưa thầy,0.0,174,[]
232,407,D m thắm ơi cho em vào lại không sợ chó Đi em sai rồi.,1.0,175,"[[0, 2], [36, 41]]"
233,408,Hôm sau em k giám chúc mừng năm mới nữa huhu,0.0,175,[]
234,410,Hay qua chi MINH HIEU oi!,0.0,176,[]
235,411,E ung ho Chi!,0.0,176,[]
236,413,Em rất thích chi,0.0,177,[]
237,415,Ok anh như 2 giọt nước 😍,0.0,178,[]
238,417,Thân Hoài Thương ?,0.0,179,[]
239,418,Hay thì like đéo hay chả nhẽ k đc dlike?,1.0,179,"[[13, 15], [21, 23], [34, 38]]"
240,419,Lạ lồn thế?,1.0,179,"[[0, 5]]"
241,420,Sinh ra nút dlike làm cc gì?,1.0,179,"[[12, 16], [22, 23]]"
242,421,Hát như cc thì chả dlike,1.0,179,"[[8, 9], [15, 17], [19, 23]]"
243,423,Uk công nhận k hay lắm,0.0,180,[]
244,425,Trần Linh đau đầu thực sự 😂,0.0,181,[]
245,427,Xem cái này chỉ muốn ỉa vào mặt mấy thằng cho xây tượng đài.,1.0,182,"[[21, 22], [36, 40]]"
246,429,Châu Hạ Nghi cđ nhâyy,1.0,183,"[[13, 14], [16, 20]]"
247,431,"trong đó có bọn comdom gì gì ấy cũng y như vậy, lũ sống bằng tiền lao động của dân mà cứ nghĩ chúng nó là thánh không bằng",1.0,184,"[[12, 21], [48, 49], [94, 101]]"
248,433,Anh trung bú đá,1.0,185,"[[10, 14]]"
249,435,Tuổi lồn sánh vai,1.0,186,"[[0, 7]]"
250,437,Mai anh Độ bắt đầu live thì cả bộ tộc chào cờ rồi hát tộc ca :v,0.0,187,[]
251,439,Dũng Trần người việt sang Mỹ :( xong bay dìa cái thành người thứ 34 :(,0.0,188,[]
252,441,Manh thi song yeu thi chet,1.0,189,"[[22, 25]]"
253,443,Có 5 thằng like.,1.0,190,"[[5, 9]]"
254,444,Có nghĩa bên cạnh thằng óc chó có thêm 5 thằng óc như chó :)),1.0,190,"[[18, 29], [41, 56]]"
255,446,Cao Lãnh với chúng tôi làyy,0.0,191,[]
256,448,chuyện ở hong kong là một giấc mơ của thiểu số người Việt mà thôi !,0.0,192,[]
257,449,.,0.0,192,[]
258,450,trưa đọc tí truyện hài cho vui nhà ad ơi,0.0,192,[]
259,452,Nào chưa có vợ thì sao dỗi vl,1.0,193,"[[27, 28]]"
260,454,lương sắp tới cũng là lương sắp đi :),0.0,194,[]
261,456,"Những thằng nói đạo lí,thường sống như L^**",1.0,195,"[[6, 10], [39, 42]]"
262,458,oki =))),0.0,196,[]
263,460,Thằng xamlol.,1.0,197,"[[0, 4], [6, 11]]"
264,461,M k dùng hay dùng thì t care à,1.0,197,"[[0, 0], [22, 22]]"
265,463,Non quá thầy ơi,1.0,198,"[[0, 2]]"
266,465,Sao chi noi tieng de thuong qua chi oi.nam nay chi bao nhieu tuoi roi chi .dep gai qua chi oi,0.0,199,[]
267,467,Phụ nữ vn làm gi có ai xấu tai xấu hại vậy xấu hết phần chó,1.0,200,"[[23, 37], [43, 58]]"
268,469,Ở với + sản.bạn đấu tranh họ cho bạn là phản động.khi + sản sai.nó sẽ rút kinh nghiệm.đậu xanh rau muống.,1.0,201,"[[40, 48], [64, 65], [86, 103]]"
269,471,Đất nước hạnh phúc nhất thế giới là người dân ngày đêm cày kéo làm để trả nợ thay cho lũ ăn tàn phá hoại đất nước này .,1.0,202,"[[36, 103]]"
270,472,"Muốn dân hết khổ thì cho vài ba trận đá banh thì dân cứ bão với lũ là hết thôi , cứ quán nhậu mọc nhiều hơn thư viện sách thì dân có ngu cũng phải cho mình là thông minh , bởi rượu vào lời ra thì mạnh ai người ấy nói kk",1.0,202,"[[0, 77], [81, 168]]"
271,474,"Ở Mỹ cầm bảng ""Trump is Putin's puppet"" chẳng sao nhỉ.",0.0,203,[]
272,475,"Ở VN mà cầm bảng ""Lú là con rối của Tập"", sẽ bị tống vô tù vì tội .",1.0,203,"[[24, 30], [48, 57]]"
273,476,tiết lộ bí mật quốc gia haha :)),0.0,203,[]
274,478,Cái chế độ vc này bàn tay nhuốm máu không biết bao nhiêu người tù vụ cải cách ruộng đất cả trăm ngàn người chết đến vụ học tập cải tạo thêm cả trăm ngàn người chết!,1.0,204,"[[11, 12], [26, 34], [107, 110], [159, 162]]"
275,480,Là chính e.,0.0,205,[]
276,481,ai mà có phi cơ riêng .,0.0,205,[]
277,482,thần tượng của Kim Đan Cương,0.0,205,[]
278,484,Giờ ko đánh cũng đã khai chính cờ đỏ sao vàng là bọn khủng bố.cần phải dẹp ngay bọn khủng bố cờ đỏ sao vàng này ra khỏi xã hội Việt Nam và cả nhân loại của thế giới 😉,1.0,206,"[[4, 23], [49, 60], [71, 91]]"
279,486,Thương con chó mà phải mang cái mặt của mày quá,1.0,207,"[[7, 14], [26, 39], [46, 49]]"
280,488,Trần Thanh Hà ai đấy 😂,0.0,208,[]
281,490,Bạn bè bên dai loan và bên nước Việt Nam mình kg tha thứ cho no cho nó một bài học cho nó biết thế nào la suc Phạm dân tộc Việt Nam kg cho nó bài hoc nó kg sợ dau an nói tuc tĩu mất dạy quá,1.0,209,"[[46, 55], [61, 62], [68, 69], [87, 88], [106, 113], [139, 140], [150, 151], [170, 188]]"
282,492,Du học Úc à nghen 😇,0.0,210,[]
283,494,Xin link dạo hả abe,0.0,211,[]
284,496,"Và họ kêu ngày ấy là ""giải phóng"" miền nam 🤣",1.0,212,"[[22, 31]]"
285,498,Thích nhất đoạn 31:00😂😂😂😂,0.0,213,[]
286,500,Hợp lý quá ah êu😑,0.0,214,[]
